date,USD,EUR,KZT,UAH,BYR
2003-01,31.7844,33.2719,0.203925,5.9419,0.016425
2003-02,31.8345,34.429,0.205576,5.94182,0.016256
2003-03,31.5729,33.9409,0.208194,5.89454,0.015989
2003-04,31.3801,33.9815,0.206202,5.85471,0.015696
2003-05,31.1021,34.5513,0.204875,5.77205,0.015331
2003-06,30.709,36.4669,0.204125,5.63882,0.015008
2003-07,30.3809,34.7223,0.205946,5.64921,0.014715
2003-08,30.2791,34.3395,0.206358,5.64751,0.01457
2003-09,30.5036,33.2001,0.206829,5.67055,0.014517
2003-10,30.6142,35.6043,0.205656,5.67897,0.014479
2003-11,29.9451,34.7992,0.202923,5.55465,0.014038
2003-12,29.7387,35.5021,0.202809,5.51687,0.013843
2004-01,29.4545,37.0979,0.20567,5.474,0.013575
2004-02,28.4937,35.3635,0.204323,5.27896,0.013192
2004-03,28.5156,35.5076,0.205098,5.2939,0.013233
2004-04,28.5151,34.9082,0.205346,5.2941,0.013261
2004-05,28.9612,34.6289,0.209668,5.40129,0.013421
2004-06,28.9993,35.3907,0.21172,5.43363,0.013446
2004-07,29.0471,35.0889,0.213679,5.443,0.013443
2004-08,29.1019,35.0532,0.213478,5.455,0.013455
2004-09,29.2591,35.3713,0.214521,5.47267,0.01352
2004-10,29.2224,36.0312,0.217488,5.43157,0.013457
2004-11,28.7655,36.6472,0.217885,5.34595,0.013208
2004-12,28.1496,37.3264,0.216452,5.25728,0.012896
2005-01,27.7487,37.8409,0.213438,5.12337,0.012749
2005-02,28.1136,36.5899,0.216228,5.28382,0.012916
2005-03,27.7007,36.72,0.212837,5.22822,0.01281
2005-04,27.8548,36.0274,0.210235,5.32108,0.012915
2005-05,27.7726,36.0072,0.211391,5.46974,0.012899
2005-06,28.1946,34.9134,0.21324,5.55559,0.013102
2005-07,28.6282,34.6258,0.21209,5.67558,0.013304
2005-08,28.6341,34.716,0.210728,5.6852,0.013317
2005-09,28.5566,34.879,0.211038,5.65612,0.013264
2005-10,28.5348,34.3074,0.213347,5.59429,0.013256
2005-11,28.503,34.3946,0.212574,5.54059,0.013248
2005-12,28.7792,33.9393,0.214631,5.66375,0.013382
2006-01,28.7825,34.185,0.215337,5.67232,0.013363
2006-02,28.1305,34.0492,0.213002,5.49284,0.013076
2006-03,28.1211,33.3291,0.215807,5.50315,0.013066
2006-04,27.6996,33.6273,0.215729,5.42258,0.012875
2006-05,27.2739,34.1906,0.21917,5.37279,0.012685
2006-06,26.9355,34.7064,0.222155,5.38301,0.01256
2006-07,26.9423,34.2383,0.227707,5.34824,0.012572
2006-08,26.8197,34.2112,0.22661,5.32,0.012516
2006-09,26.7295,34.318,0.213213,5.29098,0.012478
2006-10,26.7799,33.9783,0.210492,5.29896,0.012505
2006-11,26.7811,33.9852,0.209511,5.28414,0.012504
2006-12,26.3081,34.6899,0.205628,5.20303,0.012287
2007-01,26.3311,34.6965,0.207609,5.21987,0.012291
2007-02,26.5484,34.3802,0.210323,5.23823,0.012347
2007-03,26.1481,34.539,0.210008,5.16567,0.012172
2007-04,26.0113,34.6861,0.210061,5.13966,0.012124
2007-05,25.6851,35.0653,0.213842,5.08233,0.011948
2007-06,25.9043,34.8128,0.211337,5.13709,0.012049
2007-07,25.8162,34.715,0.211011,5.11465,0.012019
2007-08,25.5448,35.0015,0.206631,5.07778,0.011892
2007-09,25.6262,35.0233,0.202803,5.09528,0.011914
2007-10,24.9493,35.3457,0.206255,4.95517,0.011601
2007-11,24.6724,35.6492,0.204098,4.87713,0.011457
2007-12,24.4171,36.0055,0.20202,4.81239,0.011325
2008-01,24.5462,35.9332,0.203492,4.82357,0.01139
